input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes
zen5,count/random256/series_local/cp16/native16/inline/masked25,1,5,"[2026.335313722652,2026.280394145804,2025.5022460512923,2025.874510940448,2026.2543109694182]",2026.2543109694182,"[2026.3529923245728,2026.2979278304308,2025.519779728197,2025.8921895392475,2026.2718446663362]",2026.2718446663362,,,544.0,62.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/inline/scan,1,5,"[7504.485530546721,7515.397106109434,7562.005359056911,7509.0734190782305,7512.256698821046]",7512.256698821046,"[7504.551446955173,7515.462486616327,7929.196141514016,7509.165058909002,7512.31618437365]",7512.31618437365,,,544.0,256.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/inline/sparse17,1,5,"[640.1751577791994,639.783270831426,640.6828409402668,638.563523278153,639.3611543034893]",639.783270831426,"[640.6481295191863,639.7888045391802,640.9289307571145,640.6673374163065,641.4046007495281]",640.6673374163065,,,544.0,16.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/materialized/masked25,1,5,"[1993.5740108169637,1995.7899231426577,1997.3642186165691,1994.566040421266,1993.259322516338]",1994.566040421266,"[1993.59279817033,1995.8087105240877,1999.9975804077444,1994.5834044988644,1993.2781098644266]",1994.5834044988644,,,544.0,62.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/materialized/scan,1,5,"[7510.741536808187,7512.144545942934,7512.837721655119,7513.960236431933,7508.528210639477]",7512.144545942934,"[7510.807092940565,7512.20956468179,7512.902740393854,7516.223535733803,7520.323482013947]",7512.902740393854,,,544.0,256.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/materialized/sparse17,1,5,"[587.736310272529,586.5115303983256,587.0482599580649,586.8742557651983,587.4767714884752]",587.0482599580649,"[588.173291398409,586.5166457027785,587.0533333400776,588.2592452830338,587.6432704430754]",587.6432704430754,,,544.0,16.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/shared/masked25,1,5,"[2036.765711780196,2036.8475591932224,2038.0751242326755,2035.9340836012925,2040.0542239111248]",2036.8475591932224,"[2036.7848582300899,2039.4668225520927,2039.291435232238,2035.9517684940126,2040.0719087989446]",2039.291435232238,,,544.0,62.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/shared/scan,1,5,"[7617.143400325974,7616.6974470396035,7618.582835415535,7610.733297121145,7609.365019011343]",7616.6974470396035,"[7617.209125434834,7616.703965227368,7618.659967463523,7610.800108693052,7609.430744125149]",7616.703965227368,,,544.0,256.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/shared/sparse17,1,5,"[597.1562019477178,597.2227917307439,596.8179138903188,597.1848197505603,596.1912694344761]",597.1562019477178,"[597.3672475660437,598.5337433780365,596.8235093032837,597.1900307539055,596.4428925300347]",597.1900307539055,,,544.0,16.0,256.0,10031.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/cps/masked25,1,5,"[474.02088064811755,474.3846310294507,474.15446934003035,474.33751398258624,474.7280092200411]",474.33751398258624,"[474.025355075763,474.5127961730598,474.15890986856004,474.34195450988165,474.79075284948044]",474.34195450988165,,,1024.0,62.0,256.0,14.0
