input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:rows_per_call,counter:drawn_codes,counter:stride
avx512,gpr/8/unit1/stride1/map0/random/all/word_hash/simd,1,3,"[275.51978069641876,275.5142192249244,275.6183883560129]",275.51978069641876,"[275.52360667407737,275.5180846452298,275.6221748910246]",275.52360667407737,"[0.2690622858363465,0.2690568547118402,0.26915858237891876]",0.2690622858363465,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/sum/gpr_compiled,1,3,"[336.1445817905647,336.5645231103612,336.8030878745616]",336.5645231103612,"[336.1488143915595,336.568755711356,336.8833148963553]",336.568755711356,"[0.3282661931548484,0.32867629209996213,0.32890926550250155]",0.32867629209996213,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/sum/gpr_inline,1,3,"[291.09843567949736,291.29859377613644,290.99155433531615]",291.09843567949736,"[291.1017224161833,291.30267099309407,290.99558994727096]",291.1017224161833,"[0.2842758160932591,0.28447128298450824,0.2841714397805822]",0.2842758160932591,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/sum/gpr_points,1,3,"[332.4547313360148,332.70622919624446,332.6477888732985]",332.6477888732985,"[332.45886828340645,332.7855444599583,332.97004279606836]",332.7855444599583,"[0.32466282357032694,0.3249084269494575,0.3248513563215806]",0.3248513563215806,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/sum/point,1,3,"[605.3711062911258,605.265336226238,605.392885032019]",605.3711062911258,"[605.3787418653619,605.2737527119099,605.4005206087211]",605.3787418653619,"[0.5911827209874275,0.5910794299084356,0.591203989289081]",0.5911827209874275,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/sum/simd,1,3,"[238.49929720976587,236.55358774361375,234.38129875599418]",236.55358774361375,"[238.55987771488734,236.78462998131326,234.38456673024564]",236.78462998131326,"[0.232909469931412,0.2310093630308728,0.22888798706640054]",0.2310093630308728,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/update/gpr_compiled,1,3,"[1499.3927939895948,1482.1379310341083,1484.5209991155168]",1484.5209991155168,"[1499.411582668234,1482.15671971903,1484.5395667563105]",1484.5395667563105,"[1.4642507753804637,1.4474003232754964,1.449727538198747]",1.449727538198747,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/update/gpr_inline,1,3,"[1454.6003327080184,1453.498232482654,1453.173632769819]",1453.498232482654,"[1455.1613641051392,1453.5186109369674,1453.1900603021509]",1453.5186109369674,"[1.420508137410174,1.419431867658842,1.4191148757517764]",1.419431867658842,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/update/gpr_points,1,3,"[2428.5755250395105,2565.655088854426,2573.8416801336552]",2565.655088854426,"[2428.6013731838143,2565.691437804483,2573.8780290779728]",2565.691437804483,"[2.3716557861713974,2.5055225477094,2.5135172657555227]",2.5055225477094,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/update/point,1,3,"[1928.4665381438488,1929.7887634269348,1928.4117323016806]",1928.4665381438488,"[1928.711374274899,1931.008262182837,1928.8876342573035]",1928.8876342573035,"[1.8832681036561023,1.884559339284116,1.8832145823258597]",1.8832681036561023,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/update/simd,1,3,"[2042.021021899735,2042.2227737236112,2046.4534306532114]",2042.2227737236112,"[2042.0496350387139,2042.4963503647252,2046.4788321141298]",2042.4963503647252,"[1.9941611541989597,1.9943581774644643,1.9984896783722768]",1.9943581774644643,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/word_hash/gpr_compiled,1,3,"[299.50865421590873,299.60818838392026,299.3898457197061]",299.50865421590873,"[299.51241505948576,299.6778067441254,299.3940339329205]",299.51241505948576,"[0.2924889201327233,0.29258612146867213,0.2923728962106505]",0.2924889201327233,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/half/word_hash/gpr_inline,1,3,"[203.5209841234764,203.9707272938286,204.11166238620547]",203.9707272938286,"[203.5232605647891,203.97358743820146,204.51818234899338]",203.97358743820146,"[0.19875096105808243,0.19919016337287948,0.1993277952990288]",0.19919016337287948,1024.0,8.0,1.0,1.0
