family,case,rows,seed,repetitions,median_ns,min_ns,max_ns,allocated_bytes,queries,conditional_visits
prefix,A_prefix_plane/equality_mismatch15,262144,918273,3,7.005556742,7.004933675,7.095450719,18612352,262144,262144
prefix,A_prefix_plane/equality_mismatch16,262144,918273,3,6.852803548,6.825960159,6.907200495,18612352,262144,262144
prefix,A_prefix_plane/equality_mismatch17,262144,918273,3,4.072024155,4.067736435,4.092833328,18612352,262144,98304
prefix,A_prefix_plane/update_raw,262144,918273,3,1.013110914,1.012147201,1.014074627,18612352,262144,0
prefix,A_prefix_plane/update_tuplepack_effects,262144,918273,3,2.776452746,2.773120063,2.777880532,18612352,262144,0
prefix,D65/scalar_raw,262144,918273,3,0.763004761,0.762440251,0.763606644,19136768,262144,0
prefix,D65/scalar_tuplepack,262144,918273,3,1.811599211,1.806874015,1.827856881,19136768,262144,0
prefix,D65/full_string_rare,262144,918273,3,20.559783936,20.402637482,20.579942703,19136768,262144,262144
prefix,D65/all_fields,262144,918273,3,21.377826691,21.329725266,21.381471634,19136768,262144,262144
prefix,D65/equality_mismatch0,262144,918273,3,2.763087681,2.683053589,3.015294295,19136768,262144,0
prefix,D65/equality_mismatch7,262144,918273,3,2.670671336,2.655259705,2.709779612,19136768,262144,0
prefix,D65/equality_mismatch8,262144,918273,3,7.896710968,7.459964752,7.983425903,19136768,262144,262144
prefix,D65/equality_mismatch15,262144,918273,3,8.189794922,8.004086304,8.528921509,19136768,262144,262144
prefix,D65/equality_mismatch16,262144,918273,3,7.604962031,7.556527456,7.73482132,19136768,262144,262144
prefix,D65/equality_mismatch17,262144,918273,3,5.416941166,5.318058968,5.684938158,19136768,262144,98304
prefix,D65/update_raw,262144,918273,3,1.10312064,1.100177765,1.107068307,19136768,262144,0
prefix,D65/update_tuplepack_effects,262144,918273,3,2.939481295,2.937890566,2.939674964,19136768,262144,0
prefix,E64prefix7/scalar_raw,262144,918273,3,0.70173756,0.700738803,0.703697551,19136768,262144,0
prefix,E64prefix7/scalar_tuplepack,262144,918273,3,1.72987996,1.724061883,1.735969197,19136768,262144,0
prefix,E64prefix7/full_string_rare,262144,918273,3,19.987291336,19.98116684,19.989902496,19136768,262144,262144
prefix,E64prefix7/all_fields,262144,918273,3,21.032596588,21.020370483,21.042953491,19136768,262144,262144
prefix,E64prefix7/equality_mismatch0,262144,918273,3,2.946963677,2.919970376,3.109540793,19136768,262144,0
prefix,E64prefix7/equality_mismatch7,262144,918273,3,7.257963181,7.204652786,7.533435822,19136768,262144,262144
prefix,E64prefix7/equality_mismatch8,262144,918273,3,7.252889633,7.188980738,7.334365209,19136768,262144,262144
prefix,E64prefix7/equality_mismatch15,262144,918273,3,7.259330114,7.159626007,7.357807159,19136768,262144,262144
prefix,E64prefix7/equality_mismatch16,262144,918273,3,6.708944321,6.553876241,8.09123764,19136768,262144,262144
prefix,E64prefix7/equality_mismatch17,262144,918273,3,6.738851547,6.725296656,6.803567886,19136768,262144,229376
prefix,E64prefix7/update_raw,262144,918273,3,1.044898781,1.011998628,1.04612567,19136768,262144,0
prefix,E64prefix7/update_tuplepack_effects,262144,918273,3,2.814368384,2.814204625,2.816417149,19136768,262144,0
prefix,F64side/scalar_raw,262144,918273,3,0.698925088,0.619875077,0.699212161,19136640,262144,0
prefix,F64side/scalar_tuplepack,262144,918273,3,1.718288256,1.717568605,1.71869958,19136640,262144,0
prefix,F64side/full_string_rare,262144,918273,3,22.232685089,22.151449203,22.293395996,19136640,262144,262144
prefix,F64side/all_fields,262144,918273,3,21.039272308,20.915485382,21.086555481,19136640,262144,262144
prefix,F64side/equality_mismatch0,262144,918273,3,2.883062908,2.876003265,2.896384375,19136640,262144,0
prefix,F64side/equality_mismatch7,262144,918273,3,2.939610114,2.918951035,3.105341691,19136640,262144,0
