rank,mtu,bytes,azs,worst_direction_p99_us,worst_direction,worst_direction_p50_us,mean_direction_p50_us
5,1500,4096,"use1-az1,use1-az5,use1-az6",744.983,use1-az5->use1-az6,700.707,560.1713333333333
6,1500,4096,"use1-az3,use1-az5,use1-az6",809.9702,use1-az5->use1-az3,700.707,613.76125
7,1500,4096,"use1-az1,use1-az3,use1-az5",831.84104,use1-az1->use1-az3,781.3135,595.1525833333334
8,1500,4096,"use1-az1,use1-az3,use1-az6",831.84104,use1-az1->use1-az3,781.3135,629.3416666666666
9,1500,4096,"use1-az3,use1-az4,use1-az5",853.7202500000001,use1-az4->use1-az3,755.5509999999999,583.0063333333334
10,1500,4096,"use1-az1,use1-az3,use1-az4",853.7202500000001,use1-az4->use1-az3,781.3135,621.8288333333334
11,1500,4096,"use1-az2,use1-az3,use1-az4",916.42912,use1-az2->use1-az3,842.735,608.066
12,1500,4096,"use1-az2,use1-az3,use1-az5",916.42912,use1-az2->use1-az3,842.735,626.5574166666667
13,1500,4096,"use1-az1,use1-az2,use1-az3",916.42912,use1-az2->use1-az3,842.735,673.93925
14,1500,4096,"use1-az1,use1-az4,use1-az6",939.42522,use1-az6->use1-az4,856.094,605.2315833333333
15,1500,4096,"use1-az4,use1-az5,use1-az6",939.42522,use1-az6->use1-az4,856.094,629.8355
16,1500,4096,"use1-az3,use1-az4,use1-az6",939.42522,use1-az6->use1-az4,856.094,680.0194166666666
17,1500,4096,"use1-az1,use1-az2,use1-az6",1085.53308,use1-az6->use1-az2,1010.4005,659.2281666666667
18,1500,4096,"use1-az2,use1-az4,use1-az6",1085.53308,use1-az6->use1-az2,1010.4005,675.1653333333334
19,1500,4096,"use1-az2,use1-az5,use1-az6",1085.53308,use1-az6->use1-az2,1010.4005,675.27275
20,1500,4096,"use1-az2,use1-az3,use1-az6",1085.53308,use1-az6->use1-az2,1010.4005,755.6620833333333
1,1500,8192,"use1-az1,use1-az4,use1-az5",453.96011,use1-az5->use1-az4,383.81,366.2494166666666
2,1500,8192,"use1-az2,use1-az4,use1-az5",471.09161,use1-az2->use1-az5,396.408,337.97891666666663
3,1500,8192,"use1-az1,use1-az2,use1-az4",535.85411,use1-az2->use1-az1,482.9565,376.3885833333333
4,1500,8192,"use1-az1,use1-az2,use1-az5",535.85411,use1-az2->use1-az1,482.9565,405.03675
5,1500,8192,"use1-az1,use1-az5,use1-az6",771.66055,use1-az5->use1-az6,718.691,582.5990833333333
6,1500,8192,"use1-az1,use1-az3,use1-az6",838.47828,use1-az1->use1-az3,790.6365,654.1535833333334
7,1500,8192,"use1-az1,use1-az3,use1-az5",845.4401700000001,use1-az5->use1-az3,790.6365,595.70075
8,1500,8192,"use1-az3,use1-az5,use1-az6",845.4401700000001,use1-az5->use1-az3,718.691,620.6295833333334
9,1500,8192,"use1-az3,use1-az4,use1-az5",878.4173400000001,use1-az3->use1-az4,794.4135,593.75275
10,1500,8192,"use1-az1,use1-az3,use1-az4",878.4173400000001,use1-az3->use1-az4,794.4135,651.4209166666666
11,1500,8192,"use1-az1,use1-az4,use1-az6",950.3323700000002,use1-az6->use1-az4,892.9749999999999,643.6311666666667
12,1500,8192,"use1-az4,use1-az5,use1-az6",950.3323700000002,use1-az6->use1-az4,892.9749999999999,652.083
13,1500,8192,"use1-az3,use1-az4,use1-az6",950.3323700000002,use1-az6->use1-az4,892.9749999999999,723.1754999999999
14,1500,8192,"use1-az2,use1-az3,use1-az5",958.56106,use1-az2->use1-az3,885.8365,632.5170833333333
15,1500,8192,"use1-az2,use1-az3,use1-az4",958.56106,use1-az2->use1-az3,885.8365,645.38275
16,1500,8192,"use1-az1,use1-az2,use1-az3",958.56106,use1-az2->use1-az3,885.8365,712.9025833333334
17,1500,8192,"use1-az2,use1-az5,use1-az6",1198.51305,use1-az6->use1-az2,1078.487,681.9240833333333
18,1500,8192,"use1-az1,use1-az2,use1-az6",1198.51305,use1-az6->use1-az2,1078.487,696.1895833333333
19,1500,8192,"use1-az2,use1-az4,use1-az6",1198.51305,use1-az6->use1-az2,1078.487,700.1016666666666
20,1500,8192,"use1-az2,use1-az3,use1-az6",1198.51305,use1-az6->use1-az2,1078.487,775.7109166666665
1,1500,65536,"use1-az2,use1-az4,use1-az5",642.7093000000001,use1-az4->use1-az5,551.004,486.0663333333334
2,1500,65536,"use1-az1,use1-az4,use1-az5",642.7093000000001,use1-az4->use1-az5,551.004,521.7091666666666
3,1500,65536,"use1-az1,use1-az2,use1-az4",653.68969,use1-az2->use1-az1,583.876,495.0785
4,1500,65536,"use1-az1,use1-az2,use1-az5",653.68969,use1-az2->use1-az1,583.876,529.1084999999999
5,1500,65536,"use1-az1,use1-az5,use1-az6",926.4456600000001,use1-az5->use1-az6,846.422,719.8289166666667
6,1500,65536,"use1-az3,use1-az5,use1-az6",934.1096,use1-az5->use1-az3,846.422,742.7154999999999
7,1500,65536,"use1-az3,use1-az4,use1-az5",986.21999,use1-az4->use1-az3,901.4459999999999,725.35725
8,1500,65536,"use1-az1,use1-az3,use1-az5",999.91939,use1-az1->use1-az3,927.7605,727.5645833333333
9,1500,65536,"use1-az1,use1-az3,use1-az4",999.91939,use1-az1->use1-az3,927.7605,774.2523333333334
10,1500,65536,"use1-az1,use1-az3,use1-az6",999.91939,use1-az1->use1-az3,927.7605,789.5118333333334
11,1500,65536,"use1-az2,use1-az3,use1-az5",1066.27647,use1-az3->use1-az2,1000.784,750.3589166666667
12,1500,65536,"use1-az2,use1-az3,use1-az4",1066.27647,use1-az3->use1-az2,1000.784,763.1815
13,1500,65536,"use1-az1,use1-az2,use1-az3",1066.27647,use1-az3->use1-az2,1000.784,831.6111666666666
14,1500,65536,"use1-az1,use1-az4,use1-az6",1092.03807,use1-az6->use1-az4,1013.5125,771.3263333333334
15,1500,65536,"use1-az4,use1-az5,use1-az6",1092.03807,use1-az6->use1-az4,1013.5125,796.7700833333333
16,1500,65536,"use1-az3,use1-az4,use1-az6",1092.03807,use1-az6->use1-az4,1013.5125,841.0655
17,1500,65536,"use1-az2,use1-az5,use1-az6",1229.43206,use1-az2->use1-az6,1022.8810000000001,779.1286666666666
18,1500,65536,"use1-az1,use1-az2,use1-az6",1229.43206,use1-az2->use1-az6,1022.8810000000001,786.0420833333334
19,1500,65536,"use1-az2,use1-az4,use1-az6",1229.43206,use1-az2->use1-az6,1022.8810000000001,796.7609166666667
20,1500,65536,"use1-az2,use1-az3,use1-az6",1229.43206,use1-az2->use1-az6,1022.8810000000001,873.3835833333333
