dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
msmarco,cluster32,union,plain,complete,5,65.9374,65.3625,66.3355,293.86046600341797,1.0
msmarco,cluster32,union,plain,selected,5,21.3949,21.3603,21.8219,95.11726760864258,1.0
msmarco,dispersed32,intersection,bec-plain-frame,complete,5,1674.58,1671.15,1685.55,7477.791259765625,20.96506031939986
msmarco,dispersed32,intersection,local-frame,complete,5,1712.85,1709.11,1722.93,7661.85205078125,21.444185149759374
msmarco,dispersed32,intersection,local-frame,selected,5,1657.88,1648.06,1675.43,7409.34521484375,45.586605696813386
msmarco,dispersed32,intersection,local-inline,complete,5,1647.15,1640.86,1651.51,7350.7490234375,20.621647878930528
msmarco,dispersed32,intersection,local-point,complete,5,1653.55,1647.29,1664.16,7388.64697265625,20.70177327517565
msmarco,dispersed32,intersection,mixed-frame,complete,5,1692.82,1690.49,1705.95,7573.46728515625,21.193417698698465
msmarco,dispersed32,intersection,mixed-frame-point,complete,5,1711.36,1700.11,1714.02,7615.431640625,21.425530955946055
msmarco,dispersed32,intersection,mixed-point-frame,complete,5,1730.88,1726.27,1735.25,7726.61962890625,21.669913414493685
msmarco,dispersed32,intersection,plain,complete,5,79.8748,79.6064,80.1603,356.4381408691406,1.0
msmarco,dispersed32,intersection,plain,selected,5,36.3677,36.1688,36.4493,161.31447982788086,1.0
msmarco,dispersed32,union,bec-plain-frame,complete,5,1673.13,1667.13,1689.07,7476.64892578125,20.93288609916638
msmarco,dispersed32,union,local-frame,complete,5,1967.8,1961.56,1978.29,8799.147216796875,24.61956528538703
msmarco,dispersed32,union,local-frame,selected,5,1906.72,1901.32,1910.5,8536.1171875,52.226169509352516
msmarco,dispersed32,union,local-inline,complete,5,1902.23,1895.18,1908.27,8481.540283203125,23.799205037514874
msmarco,dispersed32,union,local-point,complete,5,1906.32,1900.39,1912.18,8505.555419921875,23.85037589939984
msmarco,dispersed32,union,mixed-frame,complete,5,1953.9,1945.14,1960.45,8716.286376953125,24.4456594222572
msmarco,dispersed32,union,mixed-frame-point,complete,5,1955.66,1949.88,1960.89,8741.904296875,24.467679157444863
msmarco,dispersed32,union,mixed-point-frame,complete,5,1969.66,1967.39,1982.68,8808.5830078125,24.642836141892175
msmarco,dispersed32,union,plain,complete,5,79.9283,79.5961,80.0222,355.62261962890625,1.0
