node_a,node_b,host_a,host_b,same_az,az_a,az_b,budget,src,dst,host_src,host_dst,holdout_round,sequential_port_a,sequential_flow,sequential_train_worst_us,sequential_holdout_us,sequential_holdout_lo_us,sequential_holdout_hi_us,scattered_port_a,scattered_flow,scattered_train_worst_us,scattered_holdout_us,scattered_holdout_lo_us,scattered_holdout_hi_us,gain_us,gain_lo_us,gain_hi_us
1,4,az1b,az3a,False,1,3,16,1,4,az1b,az3a,4,49471,12,247.33496636449092,235.09300937394613,0.0,506.1861200805305,49810,45,246.4161187261684,235.36187110036403,0.0,496.09583855565563,-0.26886172641789585,-496.09583855565563,506.1861200805305
1,4,az1b,az3a,False,1,3,16,4,1,az3a,az1b,3,49459,0,226.89690450153407,230.4461459907498,0.0,497.9593614721722,65168,41,232.01217846506836,236.0861879733037,0.0,511.43045109514514,-5.640041982553896,-511.43045109514514,497.9593614721722
1,4,az1b,az3a,False,1,3,32,1,4,az1b,az3a,4,49471,12,247.33496636449092,235.09300937394613,0.0,506.1861200805305,49810,45,246.4161187261684,235.36187110036403,0.0,496.09583855565563,-0.26886172641789585,-496.09583855565563,506.1861200805305
1,4,az1b,az3a,False,1,3,32,4,1,az3a,az1b,3,49459,0,226.89690450153407,230.4461459907498,0.0,497.9593614721722,59831,62,225.89247304188785,225.13097882380615,0.0,493.7971995735736,5.315167166943667,-493.7971995735736,497.9593614721722
1,5,az1b,az3b,False,1,3,4,1,5,az1b,az3b,4,57727,1,346.99517185398935,336.6475713469009,0.0,680.0793952328829,64472,33,349.40935805439483,336.25820549903574,0.0,691.6701854174174,0.3893658478651787,-691.6701854174174,680.0793952328829
1,5,az1b,az3b,False,1,3,4,5,1,az3b,az1b,3,57729,3,324.5749083617425,329.65381595584984,0.0,682.7368908484984,64168,35,335.6841625363312,340.39364110104555,0.0,693.8164080469469,-10.73982514519571,-693.8164080469469,682.7368908484984
1,5,az1b,az3b,False,1,3,16,1,5,az1b,az3b,4,57727,1,346.99517185398935,336.6475713469009,0.0,680.0793952328829,60172,38,347.10921852091025,335.24722360403695,0.0,680.9397626437437,1.4003477428639712,-680.9397626437437,680.0793952328829
1,5,az1b,az3b,False,1,3,16,5,1,az3b,az1b,3,57735,9,323.7527669427051,330.2441018893355,0.0,681.8239018596096,62039,39,322.2298829923789,328.0942693067864,0.0,692.6520719150651,2.149832582549152,-692.6520719150651,681.8239018596096
1,5,az1b,az3b,False,1,3,32,1,5,az1b,az3b,4,57727,1,346.99517185398935,336.6475713469009,0.0,680.0793952328829,60172,38,347.10921852091025,335.24722360403695,0.0,680.9397626437437,1.4003477428639712,-680.9397626437437,680.0793952328829
1,5,az1b,az3b,False,1,3,32,5,1,az3b,az1b,3,57742,16,321.45844903989996,326.1946243239138,0.0,681.9501515756256,62039,39,322.2298829923789,328.0942693067864,0.0,692.6520719150651,-1.8996449828725872,-692.6520719150651,681.9501515756256
